display_order,wave_group,vendor,credential_name,class_code,class_label,status,availability,audience,coding_focused,focus_area,official_vendor_credential,notes,official_source_url,include_in_llmcerts,research_complete,owner_notes
1,Wave 1,OpenAI,AI Foundations,A,Official certification / exam,Current,Limited / rollout-based,General / job-ready AI learners,Mixed,General AI / LLM foundations,Yes,Core OpenAI credential; good anchor item for the catalog.,https://openai.com/index/openai-certificate-courses/,,,
2,Wave 1,OpenAI,OpenAI Certification,A,Official certification / exam,Current,Limited / rollout-based,General,Mixed,General AI / platform,Yes,Official broader credential path; rollout details may evolve.,https://openai.com/index/openai-certificate-courses/,,,
3,Wave 1,Anthropic,"Claude Certified Architect, Foundations",A,Official certification / exam,Current,Partner-only,Architects / technical partners,Yes,Claude / architecture,Yes,High-priority Claude credential; not generally self-serve yet.,https://www.anthropic.com/news/claude-partner-network,,,
4,Wave 1,Google,Google Cloud Generative AI Leader,A,Official certification / exam,Current,Public,Business / leadership,No,GenAI strategy / Google Cloud,Yes,Leadership-focused rather than hands-on development.,https://cloud.google.com/learn/certification/generative-ai-leader,,,
5,Wave 1,AWS,AWS Certified AI Practitioner,A,Official certification / exam,Current,Public,Foundational,Mixed,AI / ML / genAI foundations,Yes,Broad AWS AI baseline credential.,https://aws.amazon.com/certification/certified-ai-practitioner/,,,
6,Wave 1,AWS,AWS Certified Generative AI Developer – Professional,A,Official certification / exam,Current,Public,Developers / engineers,Yes,GenAI development / Amazon Bedrock,Yes,One of the strongest platform-specific builder credentials.,https://aws.amazon.com/certification/certified-generative-ai-developer-professional/,,,
7,Wave 1,GitHub,GitHub Copilot Certification,A,Official certification / exam,Current,Public,Developers,Yes,Copilot / AI coding,Yes,Official GitHub credential focused on Copilot usage.,https://learn.microsoft.com/en-us/credentials/certifications/github-copilot/,,,
8,Wave 1,Microsoft,Azure AI Fundamentals (AI-900),A,Official certification / exam,Current,Public,Foundational,Mixed,Azure AI / genAI foundations,Yes,Includes generative AI workloads.,https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-fundamentals/,,,
9,Wave 1,Microsoft,Azure AI Engineer Associate (AI-102),A,Official certification / exam,Current,Public,Engineers / developers,Yes,Azure AI engineering / genAI,Yes,Includes implementing generative AI and agentic solutions.,https://learn.microsoft.com/en-us/credentials/certifications/azure-ai-engineer/,,,
10,Wave 1,Microsoft,AI Business Professional,A,Official certification / exam,Current,Public,Business users / leaders,No,Business AI,Yes,Business-facing AI credential.,https://learn.microsoft.com/en-us/credentials/certifications/ai-business-professional/,,,
11,Wave 1,Microsoft,AI Transformation Leader,A,Official certification / exam,Current,Public,Leaders / executives,No,AI transformation,Yes,Leadership and change-management oriented.,https://learn.microsoft.com/en-us/credentials/certifications/ai-transformation-leader/,,,
12,Wave 1,Microsoft,Microsoft 365 Copilot and Agent Administration Fundamentals,A,Official certification / exam,Current,Public,Admins / IT,Mixed,Copilot / agents administration,Yes,Admin-focused M365 Copilot credential.,https://learn.microsoft.com/en-us/credentials/certifications/microsoft-365-copilot-and-agent-administration-fundamentals/,,,
13,Wave 1,NVIDIA,Generative AI and LLMs Associate,A,Official certification / exam,Current,Public,Foundational / practitioners,Mixed,LLMs / genAI,Yes,Strong non-cloud vendor option.,https://www.nvidia.com/en-us/learn/certification/generative-ai-llm-associate/,,,
14,Wave 1,NVIDIA,Generative AI LLMs Professional,A,Official certification / exam,Current,Public,Practitioners / engineers,Yes,LLMs / genAI,Yes,Professional-level NVIDIA LLM credential.,https://www.nvidia.com/en-us/learn/certification/generative-ai-llm-professional/,,,
15,Wave 1,Databricks,Databricks Certified Generative AI Engineer Associate,A,Official certification / exam,Current,Public,Data / AI engineers,Yes,GenAI engineering,Yes,Important for enterprise data/AI stack positioning.,https://www.databricks.com/learn/certification/genai-engineer-associate,,,
16,Wave 1,Snowflake,SnowPro Specialty: Gen AI,A,Official certification / exam,Current,Public,Data / AI practitioners,Mixed,GenAI on Snowflake,Yes,Specialty exam in the Snowflake ecosystem.,https://learn.snowflake.com/en/certifications/snowpro-GenAI,,,
17,Wave 1,IBM,IBM Certified watsonx Generative AI Engineer – Associate,A,Official certification / exam,Current,Public,Engineers,Yes,watsonx / genAI engineering,Yes,Official IBM watsonx credential.,https://www.ibm.com/training/certification/ibm-certified-watsonx-generative-ai-engineer-associate-C9007000,,,
18,Wave 1,Oracle,Oracle Cloud Infrastructure Generative AI Professional,A,Official certification / exam,Current,Public,Engineers / practitioners,Yes,OCI / generative AI,Yes,Key Oracle platform credential.,https://education.oracle.com/oracle-cloud-infrastructure-generative-ai-professional/pexam_1Z0-1127-25,,,
19,Wave 1,SAP,SAP Certified - SAP Generative AI Developer,A,Official certification / exam,Current,Public,Developers,Yes,SAP / generative AI,Yes,Direct SAP developer credential.,https://learning.sap.com/artificial-intelligence,,,
20,Wave 1,Salesforce,Salesforce Certified Agentforce Specialist,A,Official certification / exam,Current,Public,Admins / consultants / builders,Mixed,Agents / Salesforce,Yes,Agent-focused Salesforce credential.,https://trailhead.salesforce.com/credentials/agentforcespecialist,,,
21,Wave 1,UiPath,Agentic Automation Associate,A,Official certification / exam,Current,Public,Automation practitioners,Mixed,Agents / automation,Yes,Important agentic workflow credential.,https://www.uipath.com/learning/certification,,,
22,Rest,Google,Gemini Certified Educator,A,Official certification / exam,Current,Public,Educators,No,Gemini / education,Yes,"Official Google credential, but narrowly education-focused.",https://edu.google.com/learning-center/certifications/,,,
23,Rest,NVIDIA,Agentic AI LLMs Professional,A,Official certification / exam,Current,Public,Engineers / practitioners,Yes,Agentic AI / LLMs,Yes,Agent-focused NVIDIA professional credential.,https://www.nvidia.com/en-us/learn/certification/,,,
24,Rest,Oracle,Oracle Cloud Infrastructure AI Foundations Associate,A,Official certification / exam,Current,Public,Foundational,Mixed,OCI AI foundations,Yes,"Broader AI foundation credential, less LLM-specific.",https://www.oracle.com/education/training/ai/,,,
25,Rest,Oracle,Oracle Fusion AI Agent Studio Foundations Associate,A,Official certification / exam,Current,Public,Foundational / functional,Mixed,Oracle AI Agent Studio,Yes,Foundational AI Agent Studio credential.,https://www.oracle.com/education/training/ai/,,,
26,Rest,Oracle,Oracle Fusion AI Agent Studio Developer Professional,A,Official certification / exam,Current,Public,Developers,Yes,Oracle AI Agent Studio,Yes,Developer-focused Oracle agent credential.,https://www.oracle.com/education/training/ai/,,,
27,Rest,SAP,SAP Certified Associate - Positioning SAP Business AI Solutions as part of SAP Business Suite,A,Official certification / exam,Current,Public,Sales / pre-sales / consultants,No,SAP Business AI positioning,Yes,Official SAP credential but not deeply technical.,https://learning.sap.com/artificial-intelligence,,,
28,Rest,Dataiku,Generative AI Practitioner Certificate,A,Official certification / exam,Current,Public,Practitioners,Mixed,Generative AI / Dataiku,Yes,Official first-party Dataiku credential.,https://academy.dataiku.com/genai-practitioner-certificate,,,
29,Rest,Relativity,Relativity Generative AI Pro,A,Official certification / exam,Current,Public,Legal-tech professionals,No,GenAI / legal-tech,Yes,Niche vertical credential.,https://www.relativity.com/resources/certification/pro/relativity-generative-ai-pro/,,,
30,Rest,Box,Box Certified AI Professional,A,Official certification / exam,Current,Public,Enterprise users / admins,Mixed,AI in enterprise content workflows,Yes,Official Box AI credential.,https://training.box.com/pages/intelligent-content-expert/certifications/019a59df-6875-7c07-a3fc-745da6da4a9f,,,
31,Rest,Adobe,Product and Experience Design with AI Using Adobe Firefly,A,Official certification / exam,Current,Public,Creators / designers,No,Generative creative AI,Yes,Official Adobe AI credential; creative rather than LLM/platform oriented.,https://certifiedprofessional.adobe.com/firefly,,,
32,Rest,Adobe,Adobe Firefly Services Qualified Credential (Beta),A,Official certification / exam,Current,Public / beta,Developers / implementers,Mixed,Adobe Firefly services,Yes,Qualified credential in beta.,https://certifiedprofessional.adobe.com/firefly,,,
33,Rest,AWS,AWS Agentic AI Demonstrated,B,Official microcredential / accreditation / assessed badge,Current,Public,Practitioners,Mixed,Agentic AI,Yes,Official AWS microcredential.,https://skillbuilder.aws/learn,,,
34,Rest,AWS,AWS Cloud Quest: Generative AI Practitioner,B,Official microcredential / accreditation / assessed badge,Current,Public,Foundational,Mixed,GenAI basics,Yes,Official AWS badge-style credential.,https://skillbuilder.aws/,,,
35,Rest,Google,Explore Generative AI with the Gemini API in Vertex AI,B,Official microcredential / accreditation / assessed badge,Current,Public,Developers,Yes,Gemini API / Vertex AI,Yes,Official Google skill badge.,https://www.cloudskillsboost.google/course_templates/959,,,
36,Rest,Google,Develop Gen AI Apps with Gemini and Streamlit,B,Official microcredential / accreditation / assessed badge,Current,Public,Developers,Yes,Gemini app development,Yes,Official Google skill badge.,https://www.cloudskillsboost.google/,,,
37,Rest,Google,Build Real World AI Applications with Gemini and Imagen,B,Official microcredential / accreditation / assessed badge,Current,Public,Developers / builders,Yes,Gemini / Imagen applications,Yes,Official Google skill badge.,https://www.cloudskillsboost.google/,,,
38,Rest,Google,Prompt Design in Vertex AI,B,Official microcredential / accreditation / assessed badge,Current,Public,Practitioners,Mixed,Prompting / Vertex AI,Yes,Official Google skill badge.,https://www.cloudskillsboost.google/,,,
39,Rest,Microsoft,Develop generative AI solutions with Azure OpenAI Service,B,Official microcredential / accreditation / assessed badge,Current,Public,Developers,Yes,Azure OpenAI,Yes,Official Microsoft Applied Skills credential.,https://learn.microsoft.com/en-us/credentials/applied-skills/resources/study-guides/apl-3006,,,
40,Rest,Microsoft,Create agents in Microsoft Copilot Studio,B,Official microcredential / accreditation / assessed badge,Current,Public,Builders / admins,Mixed,Copilot Studio / agents,Yes,Official Microsoft Applied Skills credential.,https://learn.microsoft.com/en-us/credentials/,,,
41,Rest,Microsoft,Streamline business workflows with AI chat,B,Official microcredential / accreditation / assessed badge,Current,Public,Business / makers,No,AI chat workflows,Yes,Official Microsoft Applied Skills credential.,https://learn.microsoft.com/en-us/credentials/,,,
42,Rest,Microsoft,Generate reports with AI research agents,B,Official microcredential / accreditation / assessed badge,Current,Public,Knowledge workers,No,Research agents,Yes,Official Microsoft Applied Skills credential.,https://learn.microsoft.com/en-us/credentials/,,,
43,Rest,Microsoft,Accelerate app development by using GitHub Copilot,B,Official microcredential / accreditation / assessed badge,Current,Public,Developers,Yes,GitHub Copilot,Yes,Official Microsoft Applied Skills credential.,https://learn.microsoft.com/en-us/credentials/,,,
44,Rest,Databricks,Generative AI Fundamentals Accreditation,B,Official microcredential / accreditation / assessed badge,Current,Public,Foundational,Mixed,GenAI fundamentals,Yes,Official Databricks accreditation.,https://www.databricks.com/training/catalog/generative-ai-fundamentals-accreditation-1811,,,
45,Rest,Databricks,Generative AI Application Development,B,Official microcredential / accreditation / assessed badge,Current,Public,Developers / engineers,Yes,GenAI application development,Yes,Official Databricks knowledge badge / accreditation track item.,https://www.databricks.com/training/catalog,,,
46,Rest,Databricks,Generative AI Solution Development,B,Official microcredential / accreditation / assessed badge,Current,Public,Engineers / architects,Yes,GenAI solution development,Yes,Official Databricks knowledge badge / accreditation track item.,https://www.databricks.com/training/catalog,,,
47,Rest,Databricks,Generative AI Application Evaluation and Governance,B,Official microcredential / accreditation / assessed badge,Current,Public,Engineers / practitioners,Mixed,Evaluation / governance,Yes,Official Databricks knowledge badge / accreditation track item.,https://www.databricks.com/training/catalog,,,
48,Rest,Databricks,Generative AI Application Deployment and Monitoring,B,Official microcredential / accreditation / assessed badge,Current,Public,Engineers / operations,Yes,Deployment / monitoring,Yes,Official Databricks knowledge badge / accreditation track item.,https://www.databricks.com/training/catalog,,,
49,Rest,ServiceNow,Now Assist Executive Micro-Certification,B,Official microcredential / accreditation / assessed badge,Current,Public,Executives / leaders,No,Now Assist,Yes,Official ServiceNow micro-certification.,https://learning.servicenow.com/,,,
50,Rest,ServiceNow,Agentic AI Executive Micro-Certification,B,Official microcredential / accreditation / assessed badge,Current,Public,Executives / leaders,No,Agentic AI,Yes,Official ServiceNow micro-certification.,https://learning.servicenow.com/,,,
51,Rest,ServiceNow,AI Agents Delivery Accreditation,B,Official microcredential / accreditation / assessed badge,Current,Public,Implementers / partners,Mixed,AI agents delivery,Yes,Official ServiceNow accreditation.,https://learning.servicenow.com/,,,
52,Rest,ServiceNow,Now Assist for Creator Implementation Delivery Accreditation,B,Official microcredential / accreditation / assessed badge,Current,Public,Implementers,Mixed,Now Assist / Creator,Yes,Official ServiceNow accreditation.,https://learning.servicenow.com/,,,
53,Rest,ServiceNow,Now Assist for ITSM Implementation Delivery Accreditation,B,Official microcredential / accreditation / assessed badge,Current,Public,Implementers,Mixed,Now Assist / ITSM,Yes,Official ServiceNow accreditation.,https://learning.servicenow.com/,,,
54,Rest,ServiceNow,Now Assist for HRSD Implementation Delivery Accreditation,B,Official microcredential / accreditation / assessed badge,Current,Public,Implementers,Mixed,Now Assist / HRSD,Yes,Official ServiceNow accreditation.,https://learning.servicenow.com/,,,
55,Rest,ServiceNow,Now Assist for CSM Implementation Delivery Accreditation,B,Official microcredential / accreditation / assessed badge,Current,Public,Implementers,Mixed,Now Assist / CSM,Yes,Official ServiceNow accreditation.,https://learning.servicenow.com/,,,
56,Rest,ServiceNow,Now Assist and Agentic Workflow for ITOM Delivery Accreditation,B,Official microcredential / accreditation / assessed badge,Current,Public,Implementers,Mixed,Now Assist / ITOM,Yes,Official ServiceNow accreditation.,https://learning.servicenow.com/,,,
57,Rest,Anthropic,Claude Code in Action,C,Official course certificate,Current,Public,Developers,Yes,Claude Code,Yes,Official Anthropic Academy completion certificate.,https://www.anthropic.com/learn,,,
58,Rest,Anthropic,Claude 101,C,Official course certificate,Current,Public,General,Mixed,Claude basics,Yes,Official Anthropic Academy completion certificate.,https://www.anthropic.com/learn,,,
59,Rest,Anthropic,Introduction to Claude Cowork,C,Official course certificate,Current,Public,General / business,No,Claude / collaboration,Yes,Official Anthropic Academy completion certificate.,https://www.anthropic.com/learn,,,
60,Rest,Anthropic,AI Fluency,C,Official course certificate,Current,Public,General,No,AI literacy,Yes,Official Anthropic Academy completion certificate.,https://www.anthropic.com/learn,,,
61,Rest,Anthropic,Building with the Claude API,C,Official course certificate,Current,Public,Developers,Yes,Claude API,Yes,Official Anthropic Academy completion certificate.,https://www.anthropic.com/learn,,,
62,Rest,Anthropic,Introduction to Model Context Protocol,C,Official course certificate,Current,Public,Developers,Yes,MCP,Yes,Official Anthropic Academy completion certificate.,https://www.anthropic.com/learn,,,
63,Rest,Hugging Face,Agents Course - Certificate of Fundamentals of Agents,C,Official course certificate,Current,Public,Developers,Yes,Agents,Yes,Official Hugging Face course credential.,https://huggingface.co/agents-course,,,
64,Rest,Hugging Face,Agents Course - Course Certificate,C,Official course certificate,Current,Public,Developers,Yes,Agents,Yes,Official Hugging Face course credential.,https://huggingface.co/agents-course,,,
65,Rest,Hugging Face,MCP Course - Course Certificate,C,Official course certificate,Current,Public,Developers,Yes,MCP,Yes,Official Hugging Face course credential.,https://huggingface.co/,,,
66,Rest,Hugging Face,LLM Course - Certificate flow,C,Official course certificate,Current,Public,Developers / learners,Yes,LLMs,Yes,Official Hugging Face course certificate flow.,https://huggingface.co/learn/llm-course,,,
67,Rest,Databricks,Get Started With Generative AI on Databricks,C,Official course certificate,Current,Public,General / foundational,Mixed,Databricks genAI basics,Yes,Official completion certificate.,https://www.databricks.com/resources/learn/training/get-started-with-generative-ai,,,
68,Rest,Salesforce,Salesforce AI Associate,A,Official certification / exam,Retired,No longer available,Historical / foundational,Mixed,Salesforce AI,Yes,Keep as historical / retired in the database.,https://trailhead.salesforce.com/help?article=Salesforce-AI-Associate-Certification-Retirement-FAQ,,,
69,Rest,Anthropic,Additional certification for sellers (planned),A,Official certification / exam,Planned,Not yet public,Sellers / partners,No,Claude / sales enablement,Yes,Announced as planned by Anthropic.,https://www.anthropic.com/news/claude-partner-network,,,
70,Rest,Anthropic,Additional certification for architects (planned),A,Official certification / exam,Planned,Not yet public,Architects / partners,Mixed,Claude / architecture,Yes,Announced as planned by Anthropic.,https://www.anthropic.com/news/claude-partner-network,,,
71,Rest,Anthropic,Additional certification for developers (planned),A,Official certification / exam,Planned,Not yet public,Developers / partners,Yes,Claude / development,Yes,Announced as planned by Anthropic.,https://www.anthropic.com/news/claude-partner-network,,,
